filepath,label,split,humidity,temperature,ph
/content/dataset_extraction/dataset/train/Tomato septoria leaf spot/septoria leaf spot2219_-HIbtZ9.jpg,Tomato septoria leaf spot,train,46.97252142098376,25.05718739435944,5.707055559782076
/content/dataset_extraction/dataset/train/Tomato septoria leaf spot/septoria leaf spot935_.jpg,Tomato septoria leaf spot,train,55.323031023052096,23.45038783805189,6.342116741993981
/content/dataset_extraction/dataset/train/Tomato septoria leaf spot/septoria leaf spot1216_.jpg,Tomato septoria leaf spot,train,49.62597776885299,23.14922956505799,5.774521550543019
/content/dataset_extraction/dataset/train/Tomato septoria leaf spot/septoria leaf spot2189_.jpg,Tomato septoria leaf spot,train,40.619532084076255,31.417890688520266,6.854385431031896
/content/dataset_extraction/dataset/train/Tomato septoria leaf spot/septoria leaf spot2228_-TgcnQL.jpg,Tomato septoria leaf spot,train,58.408305420572596,33.60878912733072,6.866192164846202
/content/dataset_extraction/dataset/train/Tomato septoria leaf spot/septoria leaf spot601_.jpg,Tomato septoria leaf spot,train,47.30510020432714,23.112962381180846,6.872870290860598
/content/dataset_extraction/dataset/train/Tomato septoria leaf spot/septoria leaf spot474_.jpg,Tomato septoria leaf spot,train,40.90491685495008,25.191856673737753,6.664081473256294
/content/dataset_extraction/dataset/train/Tomato septoria leaf spot/septoria leaf spot379_.jpg,Tomato septoria leaf spot,train,58.646088895293886,21.487674983266782,5.550922315100195
/content/dataset_extraction/dataset/train/Tomato septoria leaf spot/septoria leaf spot1245_.jpg,Tomato septoria leaf spot,train,50.32460819527752,22.977136313531247,6.480351912676823
/content/dataset_extraction/dataset/train/Tomato septoria leaf spot/septoria leaf spot777_.jpg,Tomato septoria leaf spot,train,48.40432162631682,33.247163580220764,5.893992138161703
/content/dataset_extraction/dataset/train/Tomato septoria leaf spot/septoria leaf spot2340_-cmFkOl.jpg,Tomato septoria leaf spot,train,52.2606463432718,25.700513682271946,6.9614363801684505
/content/dataset_extraction/dataset/train/Tomato septoria leaf spot/septoria leaf spot128_.jpg,Tomato septoria leaf spot,train,54.3418785406281,29.497948733281763,6.914597348016676
/content/dataset_extraction/dataset/train/Tomato septoria leaf spot/septoria leaf spot2127_.jpg,Tomato septoria leaf spot,train,43.87479000581298,20.969738484125976,6.077656775095534
/content/dataset_extraction/dataset/train/Tomato septoria leaf spot/septoria leaf spot2348_.jpg,Tomato septoria leaf spot,train,56.75339281815877,25.167633616919336,6.339080801050929
/content/dataset_extraction/dataset/train/Tomato septoria leaf spot/septoria leaf spot1847_.jpg,Tomato septoria leaf spot,train,58.53741459510712,20.271829739184767,5.885320800705311
/content/dataset_extraction/dataset/train/Tomato septoria leaf spot/septoria leaf spot1782_.jpg,Tomato septoria leaf spot,train,49.58793080842885,28.358680245126727,5.715596338719076
/content/dataset_extraction/dataset/train/Tomato septoria leaf spot/septoria leaf spot1884_.jpg,Tomato septoria leaf spot,train,59.40854278152645,34.39466080421642,6.996826759384311
